schema,input_bit,plaintext_rank,cipher_hamming_fraction,tweak_hamming_fraction
permit,8,2059,0.4166666666666667,0.5
permit,8,2181,0.6666666666666666,0.75
permit,1,1977,0.5,0.4166666666666667
permit,3,2364,0.5,0.4166666666666667
permit,4,1071,0.4166666666666667,0.5
permit,10,3831,0.6666666666666666,0.5
permit,3,2028,0.5833333333333334,0.6666666666666666
permit,7,2132,0.5833333333333334,0.6666666666666666
permit,5,1939,0.4166666666666667,0.6666666666666666
permit,3,462,0.5,0.5833333333333334
permit,4,449,0.4166666666666667,0.5833333333333334
permit,6,1455,0.5,0.5
permit,2,1809,0.6666666666666666,0.25
permit,6,2758,0.6666666666666666,0.4166666666666667
permit,4,3798,0.4166666666666667,0.25
permit,1,1754,0.4166666666666667,0.5833333333333334
permit,9,558,0.5833333333333334,0.4166666666666667
permit,11,3397,0.5,0.75
permit,11,2658,0.4166666666666667,0.5833333333333334
permit,1,3696,0.6666666666666666,0.4166666666666667
permit,3,3376,0.6666666666666666,0.75
permit,5,743,0.25,0.6666666666666666
permit,11,3386,0.6666666666666666,0.5
permit,0,358,0.5,0.5
permit,8,221,0.5,0.5833333333333334
permit,5,2387,0.5833333333333334,0.5
permit,7,192,0.6666666666666666,0.3333333333333333
permit,6,1054,0.25,0.3333333333333333
permit,7,2629,0.5,0.5
permit,8,2803,0.5833333333333334,0.5
permit,7,2782,0.4166666666666667,0.5833333333333334
permit,4,3940,0.3333333333333333,0.6666666666666666
permit,3,2820,0.4166666666666667,0.4166666666666667
permit,11,3712,0.4166666666666667,0.3333333333333333
permit,4,568,0.5833333333333334,0.6666666666666666
permit,1,220,0.16666666666666666,0.25
permit,4,3761,0.4166666666666667,0.5833333333333334
permit,11,333,0.5,0.25
permit,0,923,0.5833333333333334,0.5
permit,6,3221,0.5833333333333334,0.3333333333333333
permit,11,473,0.75,0.5
permit,3,433,0.6666666666666666,0.6666666666666666
permit,8,3426,0.5,0.3333333333333333
permit,1,585,0.5,0.5833333333333334
permit,8,1048,0.3333333333333333,0.6666666666666666
permit,10,2126,0.5833333333333334,0.5833333333333334
permit,1,1116,0.5,0.5833333333333334
permit,1,3847,0.4166666666666667,0.3333333333333333
permit,10,588,0.4166666666666667,0.5
permit,4,3548,0.3333333333333333,0.4166666666666667
permit,11,2398,0.75,0.4166666666666667
permit,9,1250,0.4166666666666667,0.5833333333333334
permit,10,1180,0.5,0.5833333333333334
permit,4,1468,0.4166666666666667,0.5833333333333334
permit,10,3689,0.6666666666666666,0.5
permit,1,3410,0.3333333333333333,0.4166666666666667
permit,1,1895,0.6666666666666666,0.5
permit,3,1897,0.5833333333333334,0.3333333333333333
permit,6,3790,0.3333333333333333,0.4166666666666667
permit,8,974,0.5,0.25
permit,4,920,0.4166666666666667,0.5833333333333334
permit,2,3496,0.3333333333333333,0.3333333333333333
permit,9,2397,0.5833333333333334,0.3333333333333333
permit,10,268,0.75,0.5
permit,6,2303,0.5,0.6666666666666666
permit,6,709,0.5833333333333334,0.5833333333333334
permit,8,1607,0.6666666666666666,0.4166666666666667
permit,3,2605,0.5833333333333334,0.5833333333333334
permit,3,1650,0.5833333333333334,0.5
permit,1,3708,0.5833333333333334,0.3333333333333333
permit,2,3599,0.5,0.75
