rank,message,mutation,lxml_valid,xmlschema_valid,validators_agree
4080372,pacs.008.001.14,invalid_currency,False,False,True
4080372,pacs.008.001.14,negative_amount,False,False,True
4080372,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4080372,pacs.008.001.14,wrong_namespace,False,False,True
4143364,pacs.008.001.14,missing_msg_id,False,False,True
4143364,pacs.008.001.14,invalid_currency,False,False,True
4143364,pacs.008.001.14,negative_amount,False,False,True
4143364,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4143364,pacs.008.001.14,wrong_namespace,False,False,True
3184636,pain.001.001.13,missing_msg_id,False,False,True
3184636,pain.001.001.13,invalid_currency,False,False,True
3184636,pain.001.001.13,negative_amount,False,False,True
3184636,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3184636,pain.001.001.13,wrong_namespace,False,False,True
15568,pain.001.001.13,missing_msg_id,False,False,True
15568,pain.001.001.13,invalid_currency,False,False,True
15568,pain.001.001.13,negative_amount,False,False,True
15568,pain.001.001.13,duplicate_nb_of_txs,False,False,True
15568,pain.001.001.13,wrong_namespace,False,False,True
4013445,pacs.008.001.14,missing_msg_id,False,False,True
4013445,pacs.008.001.14,invalid_currency,False,False,True
4013445,pacs.008.001.14,negative_amount,False,False,True
4013445,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4013445,pacs.008.001.14,wrong_namespace,False,False,True
4061959,pacs.008.001.14,missing_msg_id,False,False,True
4061959,pacs.008.001.14,invalid_currency,False,False,True
4061959,pacs.008.001.14,negative_amount,False,False,True
4061959,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4061959,pacs.008.001.14,wrong_namespace,False,False,True
3755677,pain.001.001.13,missing_msg_id,False,False,True
3755677,pain.001.001.13,invalid_currency,False,False,True
3755677,pain.001.001.13,negative_amount,False,False,True
3755677,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3755677,pain.001.001.13,wrong_namespace,False,False,True
2786931,pain.001.001.13,missing_msg_id,False,False,True
2786931,pain.001.001.13,invalid_currency,False,False,True
2786931,pain.001.001.13,negative_amount,False,False,True
2786931,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2786931,pain.001.001.13,wrong_namespace,False,False,True
3500215,pain.001.001.13,missing_msg_id,False,False,True
3500215,pain.001.001.13,invalid_currency,False,False,True
3500215,pain.001.001.13,negative_amount,False,False,True
3500215,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3500215,pain.001.001.13,wrong_namespace,False,False,True
666663,pain.001.001.13,missing_msg_id,False,False,True
666663,pain.001.001.13,invalid_currency,False,False,True
666663,pain.001.001.13,negative_amount,False,False,True
666663,pain.001.001.13,duplicate_nb_of_txs,False,False,True
666663,pain.001.001.13,wrong_namespace,False,False,True
616779,pain.001.001.13,missing_msg_id,False,False,True
616779,pain.001.001.13,invalid_currency,False,False,True
616779,pain.001.001.13,negative_amount,False,False,True
616779,pain.001.001.13,duplicate_nb_of_txs,False,False,True
616779,pain.001.001.13,wrong_namespace,False,False,True
1418029,pain.001.001.13,missing_msg_id,False,False,True
1418029,pain.001.001.13,invalid_currency,False,False,True
